observation_date,RSCCAS
2014-01-01,20093
2014-02-01,20044
2014-03-01,20152
2014-04-01,20650
2014-05-01,20270
2014-06-01,20308
2014-07-01,20380
2014-08-01,20544
2014-09-01,20279
2014-10-01,20629
2014-11-01,20827
2014-12-01,20722
2015-01-01,20607
2015-02-01,20769
2015-03-01,20812
2015-04-01,20917
2015-05-01,21080
2015-06-01,20809
2015-07-01,21033
2015-08-01,21077
2015-09-01,20877
2015-10-01,20749
2015-11-01,20779
2015-12-01,20918
2016-01-01,20830
2016-02-01,21387
2016-03-01,20918
2016-04-01,20855
2016-05-01,20965
2016-06-01,21099
2016-07-01,20903
2016-08-01,21215
2016-09-01,21347
2016-10-01,21165
2016-11-01,20927
2016-12-01,21374
2017-01-01,21488
2017-02-01,21101
2017-03-01,21246
2017-04-01,21292
2017-05-01,21057
2017-06-01,21201
2017-07-01,21073
2017-08-01,21186
2017-09-01,21294
2017-10-01,21197
2017-11-01,21447
2017-12-01,21213
2018-01-01,21245
2018-02-01,21771
2018-03-01,21144
2018-04-01,21458
2018-05-01,22172
2018-06-01,21628
2018-07-01,21947
2018-08-01,21516
2018-09-01,21405
2018-10-01,21841
2018-11-01,21895
2018-12-01,21565
2019-01-01,21463
2019-02-01,21504
2019-03-01,21833
2019-04-01,21771
2019-05-01,21580
2019-06-01,21582
2019-07-01,21862
2019-08-01,21882
2019-09-01,21645
2019-10-01,21693
2019-11-01,21674
2019-12-01,22475
2020-01-01,22198
2020-02-01,22039
2020-03-01,11074
2020-04-01,2733
2020-05-01,8051
2020-06-01,16725
2020-07-01,17379
2020-08-01,17692
2020-09-01,20047
2020-10-01,19565
2020-11-01,18596
2020-12-01,19382
2021-01-01,20099
2021-02-01,19154
2021-03-01,23506
2021-04-01,23453
2021-05-01,24044
2021-06-01,24979
2021-07-01,24315
2021-08-01,23905
2021-09-01,24228
2021-10-01,24412
2021-11-01,25012
2021-12-01,23938
2022-01-01,23163
2022-02-01,23910
2022-03-01,25056
2022-04-01,25103
2022-05-01,24530
2022-06-01,24674
2022-07-01,24136
2022-08-01,24499
2022-09-01,24693
2022-10-01,24713
2022-11-01,24512
2022-12-01,24019
2023-01-01,24950
2023-02-01,24660
2023-03-01,24410
2023-04-01,24368
2023-05-01,24290
2023-06-01,24402
2023-07-01,24718
2023-08-01,25104
2023-09-01,24811
2023-10-01,24683
2023-11-01,24838
2023-12-01,25141
2024-01-01,24838
2024-02-01,25122
2024-03-01,24241
2024-04-01,24923
2024-05-01,25212
2024-06-01,25247
2024-07-01,25279
2024-08-01,24957
2024-09-01,25330
2024-10-01,25661
2024-11-01,25553
2024-12-01,25836
