"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","282.637","281.552","283.140","280.223","","0.05%"
"11/01/2025","282.500","283.175","283.690","280.275","","-0.24%"
"10/01/2025","283.175","283.340","283.890","280.025","","-0.06%"
"09/01/2025","283.340","283.875","284.015","281.175","","-0.19%"
"08/01/2025","283.875","283.875","284.935","281.650","","0.00%"
"07/01/2025","283.875","283.700","286.250","282.175","","0.08%"
"06/01/2025","283.650","281.975","285.065","281.700","","0.59%"
"05/01/2025","281.975","281.125","283.130","280.050","","0.34%"
"04/01/2025","281.030","280.275","282.325","279.985","","0.31%"
"03/01/2025","280.175","279.750","280.540","279.585","","0.21%"
"02/01/2025","279.600","278.800","279.950","278.150","","0.29%"
"01/01/2025","278.800","278.375","278.965","278.335","","0.24%"
"12/01/2024","278.120","278.100","278.700","277.675","","0.12%"
"11/01/2024","277.800","278.125","278.500","277.575","","-0.02%"
"10/01/2024","277.850","277.750","278.700","277.350","","0.05%"
"09/01/2024","277.720","278.975","279.200","277.550","","-0.39%"
"08/01/2024","278.820","279.000","279.450","278.290","","0.20%"
"07/01/2024","278.250","279.075","279.225","278.000","","0.02%"
"06/01/2024","278.200","278.800","279.475","278.100","","-0.04%"
"05/01/2024","278.320","278.500","279.575","277.950","","0.07%"
"04/01/2024","278.130","278.575","279.300","277.700","","0.23%"
"03/01/2024","277.500","279.925","279.925","277.750","","-0.47%"
"02/01/2024","278.800","280.150","280.175","278.845","","-0.11%"
"01/01/2024","279.120","281.250","282.390","278.945","","-0.66%"
"12/01/2023","280.970","285.750","286.250","279.390","","-1.50%"
"11/01/2023","285.250","282.375","288.630","277.325","","1.30%"
"10/01/2023","281.590","287.775","288.750","271.880","","-2.33%"
"09/01/2023","288.300","306.500","307.890","284.000","","-5.78%"
"08/01/2023","306.000","286.875","306.500","283.130","","6.90%"
"07/01/2023","286.250","286.500","289.125","268.750","","0.09%"
"06/01/2023","286.000","285.750","288.625","281.500","","0.51%"
"05/01/2023","284.550","280.200","298.625","279.880","","0.46%"
"04/01/2023","283.250","280.250","289.625","279.500","","-0.06%"
"03/01/2023","283.410","262.000","285.000","260.735","","8.59%"
"02/01/2023","261.000","265.250","276.500","257.750","","-2.43%"
"01/01/2023","267.500","226.700","270.500","226.450","","18.28%"
"12/01/2022","226.150","224.750","226.865","223.350","","0.73%"
"11/01/2022","224.500","220.250","224.775","220.000","","2.05%"
"10/01/2022","220.000","228.125","229.500","216.500","","-3.36%"
"09/01/2022","227.650","218.625","239.900","216.250","","4.31%"
"08/01/2022","218.250","238.750","240.425","211.250","","-8.93%"
"07/01/2022","239.660","204.725","240.425","204.000","","17.19%"
"06/01/2022","204.500","198.150","212.270","197.150","","2.92%"
"05/01/2022","198.700","185.650","202.645","185.250","","7.17%"
"04/01/2022","185.400","184.200","189.025","180.750","","1.09%"
"03/01/2022","183.400","177.625","184.200","176.950","","3.47%"
"02/01/2022","177.250","176.675","177.635","173.750","","0.53%"
"01/01/2022","176.320","176.445","179.055","175.700","","0.30%"
"12/01/2021","175.800","176.100","178.660","174.800","","0.05%"
"11/01/2021","175.720","171.400","176.735","169.190","","2.43%"
"10/01/2021","171.550","171.000","175.535","169.650","","0.62%"
"09/01/2021","170.500","166.875","171.080","165.625","","2.56%"
"08/01/2021","166.250","162.375","166.890","161.375","","2.78%"
"07/01/2021","161.750","158.055","162.730","157.270","","2.68%"
"06/01/2021","157.530","154.150","159.225","153.975","","3.28%"
"05/01/2021","152.520","153.150","155.590","151.425","","-0.30%"
"04/01/2021","152.980","152.825","155.190","151.820","","0.43%"
"03/01/2021","152.320","158.075","159.275","151.200","","-3.81%"
"02/01/2021","158.350","160.300","160.590","157.520","","-0.78%"
"01/01/2021","159.600","160.375","162.630","157.630","","-0.09%"
"12/01/2020","159.750","159.500","164.125","159.050","","0.60%"
"11/01/2020","158.800","160.275","161.260","157.655","","-0.75%"
"10/01/2020","160.000","165.800","167.750","159.820","","-3.26%"
"09/01/2020","165.400","165.575","166.865","164.955","","0.49%"
"08/01/2020","164.590","166.900","168.825","165.195","","-1.61%"
"07/01/2020","167.280","168.050","168.750","165.750","","0.05%"
"06/01/2020","167.200","163.100","168.475","162.375","","3.21%"
"05/01/2020","162.000","160.380","163.575","156.200","","1.25%"
"04/01/2020","160.000","166.130","168.000","159.000","","-3.47%"
"03/01/2020","165.750","154.100","168.425","153.905","","7.88%"
"02/01/2020","153.650","154.200","155.250","153.705","","-0.06%"
"01/01/2020","153.740","154.870","155.515","153.970","","-0.49%"
"12/01/2019","154.500","155.275","156.755","154.120","","-0.42%"
"11/01/2019","155.150","155.350","157.500","154.725","","0.13%"
"10/01/2019","154.950","155.700","157.320","154.960","","-0.67%"
"09/01/2019","156.000","157.000","161.015","155.400","","-0.32%"
"08/01/2019","156.500","160.550","161.215","156.090","","-2.52%"
"07/01/2019","160.550","157.100","164.500","152.015","","-1.20%"
