Date,USD_PKR_Rate
01/01/2010,84.30400085
01/02/2010,83.32499695
01/03/2010,83.75
01/04/2010,83.90000153
01/05/2010,83.96700287
01/06/2010,85.44999695
01/07/2010,85.19999695
01/08/2010,84.17700195
01/09/2010,86.15000153
01/10/2010,85.80000305
01/11/2010,85.69999695
01/12/2010,85.65000153
01/01/2011,85.02600098
01/02/2011,85.5
01/03/2011,85
01/04/2011,84.69999695
01/05/2011,84.6969986
01/06/2011,86
01/07/2011,86.44999695
01/08/2011,87.09999847
01/09/2011,87.5
01/10/2011,85.55899811
01/11/2011,86.73200226
01/12/2011,89.69999695
01/01/2012,89.59999847
01/02/2012,90.90000153
01/03/2012,89.38999939
01/04/2012,89.46399689
01/05/2012,92.16500092
01/06/2012,92.69499969
01/07/2012,93.39099884
01/08/2012,93.50299835
01/09/2012,94
01/10/2012,94.48999786
01/11/2012,96.5
01/12/2012,95.70899963
01/01/2013,97.69999695
01/02/2013,96.72699738
01/03/2013,97.05200195
01/04/2013,98.40000153
01/05/2013,98.40000153
01/06/2013,98.43900299
01/07/2013,101.5999985
01/08/2013,103.4199982
01/09/2013,104.3099976
01/10/2013,105.8700027
01/11/2013,107.4300003
01/12/2013,105.5999985
01/01/2014,105.4199982
01/02/2014,104.9000015
01/03/2014,96.76100159
01/04/2014,98.25
01/05/2014,98.59999847
01/06/2014,98.5
01/07/2014,98.59999847
01/08/2014,100.7399979
01/09/2014,101.2900009
01/10/2014,101.8300018
01/11/2014,100.4599991
01/12/2014,100.4499969
01/01/2015,100.9000015
01/02/2015,101.8499985
01/03/2015,101.8000031
01/04/2015,101.75
01/05/2015,101.8499985
01/06/2015,101.75
01/07/2015,101.75
01/08/2015,102.4899979
01/09/2015,104.25
01/10/2015,105.0999985
01/11/2015,103.8399963
01/12/2015,103.3600006
01/01/2016,103.2200012
01/02/2016,104.0199966
01/03/2016,103.1999969
01/04/2016,102.9199982
01/05/2016,103.3899994
01/06/2016,104.5500031
01/07/2016,102.8000031
01/08/2016,103.5400009
01/09/2016,103.2399979
01/10/2016,102.6299973
01/11/2016,102.8099976
01/12/2016,102.8700027
01/01/2017,102.9400024
01/02/2017,104.6999969
01/03/2017,103.8899994
01/04/2017,103.6900024
01/05/2017,104.75
01/06/2017,103.1399994
01/07/2017,103.5999985
01/08/2017,104.3799973
01/09/2017,105.3000031
01/10/2017,103.9100037
01/11/2017,104.0400009
01/12/2017,109.2099991
01/01/2018,110.4700012
01/02/2018,110.4700012
01/03/2018,115.3499985
01/04/2018,115.4499969
01/05/2018,115.4000015
01/06/2018,121.6848984
01/07/2018,121.5400009
01/08/2018,122.9700012
01/09/2018,123.6999969
01/10/2018,132.0500031
01/11/2018,133.5
01/12/2018,138.5
01/01/2019,138.25
01/02/2019,138.3999939
01/03/2019,140.5200043
01/04/2019,141.5700073
01/05/2019,150.7200012
01/06/2019,163
01/07/2019,160
01/08/2019,157.0500031
01/09/2019,155.3600006
01/10/2019,155.25
01/11/2019,155
01/12/2019,154.5
01/01/2020,154
01/02/2020,153.75
01/03/2020,166
01/04/2020,161.0500031
01/05/2020,160.6000061
01/06/2020,167.6999969
01/07/2020,167.1499939
01/08/2020,166.0542603
01/09/2020,165.8999939
01/10/2020,159.251236
01/11/2020,159
01/12/2020,160
01/01/2021,159.6999969
01/02/2021,156.9615021
01/03/2021,152.8000031
01/04/2021,153.1600037
01/05/2021,154.3300018
01/06/2021,158.1000061
01/07/2021,160.9283905
01/08/2021,165.3102722
01/09/2021,169.5
01/10/2021,171.6999969
01/11/2021,176
01/12/2021,177.9499969
01/01/2022,175.0113983
01/02/2022,174.8230438
01/03/2022,182
01/04/2022,185.3899994
01/05/2022,197.1799316
01/06/2022,203.3709869
01/07/2022,239.8999939
01/08/2022,219.8000031
01/09/2022,231.5
01/10/2022,221
01/11/2022,223.5
01/12/2022,226
01/01/2023,269
01/02/2023,259.5
01/03/2023,283.2999878
01/04/2023,283.25
01/05/2023,285.6000061
01/06/2023,286.1000061
01/07/2023,283.8592834
01/08/2023,303.2271118
01/09/2023,287.5
01/10/2023,280.7000122
01/11/2023,285.25
01/12/2023,277.28125
01/01/2024,279
01/02/2024,277.0768738
01/03/2024,276.1020203
01/04/2024,278
01/05/2024,278.1499939
01/06/2024,276.8137817
01/07/2024,278.5
01/08/2024,278.1499939
01/09/2024,277.3999939
01/10/2024,277.5
01/11/2024,277.7999878
01/12/2024,276.7648315
01/01/2025,278.2999878
01/02/2025,279.2999878
01/03/2025,275.8041687
01/04/2025,280.8999939
01/05/2025,280.6967773
01/06/2025,282.0514526
01/07/2025,283
01/08/2025,281.8666077
,
,
,
,
