Date,Copper_Export_Value_USD,Cotton Yarn_Export_Value_USD,Rice_Export_Value_USD,Copper_Weight_kg,Cotton Yarn_Weight_kg,Rice_Weight_kg,USD_PKR,Oil_Price,US_Confidence
2010-01-01,442138.359,65946357.248,235850504.298,186278.0,36905725.0,449937000.0,84.30400085,71.45999908,74.4
2010-02-01,684198.934,42859444.779,206046142.982,155600.0,18416485.0,0.0,83.32499695,77.58999634,73.6
2010-03-01,755487.484,51411526.523,256035371.787,207147.0,20400456.0,0.0,83.75,82.69999695,73.6
2010-04-01,2321.051,56627876.711,189097493.309,610.0,21368375.0,372348000.0,83.90000153,87.44000244,72.2
2010-05-01,42948.119,29176644.834,170885895.135,10354.0,10800696.0,348373000.0,83.96700287,74.01999664,73.6
2010-06-01,0.0,36919232.442,200437802.507,0.0,12651203.0,0.0,85.44999695,75.01000214,76.0
2010-07-01,115495.276,44584319.484,217788746.049,30600.0,15044857.0,421260000.0,85.19999695,78.18000031,67.8
2010-08-01,904401.022,55811888.446,128217021.36,240696.0,18384772.0,212558000.0,84.17700195,80.244998935,68.9
2010-09-01,4684086.499,54344856.093,127197178.0,2009987.0,18082915.0,218081000.0,86.15000153,82.30999756,68.2
2010-10-01,2898670.854,69550543.456,182419465.696,1249077.0,21566055.0,316899000.0,85.80000305,83.15000153,67.7
2010-11-01,927923.055,97546278.604,146964729.76,323310.0,26589298.0,241235000.0,85.69999695,85.91999817,71.6
2010-12-01,1498597.691,113356616.246,217816852.361,325102.0,27882983.0,374320000.0,85.65000153,94.75,74.5
2011-01-01,2118798.901,103513617.812,185804812.131,756003.0,24388507.0,327127000.0,85.02600098,101.0100021,74.2
2011-02-01,1347839.648,98184378.864,184583406.393,0.0,22241859.0,313836000.0,85.5,111.8000031,77.5
2011-03-01,2118321.171,66841017.673,206060407.962,375789.0,14254997.0,343427000.0,85.0,117.3600006,67.5
2011-04-01,1350979.396,71465244.325,195774521.608,287649.0,14767962.0,319042000.0,84.69999695,125.8899994,69.8
2011-05-01,1531567.543,59723960.619,186368050.221,424056.0,13728153.0,300860000.0,84.6969986,119.1850014,74.3
2011-06-01,1566728.434,70133660.27,181452298.639,437005.0,18629960.0,284871000.0,86.0,112.4800034,71.5
2011-07-01,2481888.743,37333217.982,179940250.518,640076.0,10210282.0,262498000.0,86.44999695,116.7399979,63.7
2011-08-01,2690276.63,51873218.716,118696195.638,694455.0,17604457.0,180913000.0,87.09999847,114.8499985,55.8
2011-09-01,1345831.713,59988950.38,123003416.622,355732.0,21091318.0,180854000.0,87.5,102.7600021,59.5
2011-10-01,1543413.301,77766311.353,156818588.681,353105.0,25888735.0,259219000.0,85.55899811,109.5599976,60.8
2011-11-01,1306934.159,78377690.191,135835099.452,1105.0,26201756.0,231476000.0,86.73200226,110.8199997,63.7
2011-12-01,2852112.832,68972839.94,209239739.957,35200.0,23681635.0,409920000.0,89.69999695,107.3799973,69.9
2012-01-01,3375730.413,88110720.384,191163222.061,932207.0,31098164.0,0.0,89.59999847,115.02000050000001,75.0
2012-02-01,1762042.589,86902947.825,205203842.464,580992.0,30458744.0,409741000.0,90.90000153,122.6600037,75.3
2012-03-01,1910237.484,106776153.638,187691045.517,552207.0,36429410.0,350455000.0,89.38999939,122.8799973,76.2
2012-04-01,2981382.069,100881001.006,226646538.908,773350.0,34317128.0,420707000.0,89.46399689,112.375,76.4
2012-05-01,2400001.37,94562782.634,171663118.233,626115.0,31721389.0,312782000.0,92.16500092,101.8700027,79.3
2012-06-01,1295743.971,95447542.652,153750513.106,366659.0,32735665.0,0.0,92.69499969,97.80000305,73.2
2012-07-01,2177211.992,105872821.551,129699170.372,697406.0,37026602.0,0.0,93.39099884,106.185001375,72.3
2012-08-01,1585367.087,86929383.251,94542566.327,525145.0,30610291.0,0.0,93.50299835,114.5699997,74.3
2012-09-01,1785198.424,117737093.697,93466414.922,592940.0,41012846.0,146179000.0,94.0,112.3899994,78.3
2012-10-01,3139293.035,81436012.212,125522070.619,1025337.0,28077054.0,219249000.0,94.48999786,108.6999969,82.6
2012-11-01,2035437.998,116480579.643,135299289.586,688184.0,40067221.0,252676000.0,96.5,111.2300034,82.7
2012-12-01,3167122.831,116845952.33,171523955.179,837225.0,40119908.0,332743000.0,95.70899963,111.1100006,72.9
2013-01-01,2806984.691,97599009.804,247647444.852,868510.0,33202167.0,492641000.0,97.69999695,115.5500031,73.8
2013-02-01,3417247.305,117848114.25,186253435.798,1042365.0,40368778.0,363824000.0,96.72699738,111.3799973,77.6
2013-03-01,2428846.528,134359243.045,204582254.447,771503.0,45500216.0,364943000.0,97.05200195,110.0199966,78.6
2013-04-01,901681.026,115753476.788,202616702.015,300000.0,38469214.0,379582000.0,98.40000153,102.3700027,76.4
2013-05-01,1866417.99,131495683.397,169072868.576,594820.0,43463245.0,281391000.0,98.40000153,100.3899994,84.5
2013-06-01,976661.2,123423644.642,163607750.623,659540.0,41693455.0,253480000.0,98.43900299,102.1600037,84.1
2013-07-01,1003598.971,108765000.416,150584991.205,315545.0,37611887.0,237932000.0,101.5999985,107.6999969,85.1
2013-08-01,538140.053,118923644.334,112911165.256,114218.0,40766630.0,168903000.0,103.4199982,114.0100021,82.1
2013-09-01,711531.988,141974092.87,140469947.959,229110.0,48483512.0,228802000.0,104.3099976,111.4249992,77.5
2013-10-01,3127133.016,123459529.196,139448171.196,164898.0,42419841.0,246524000.0,105.8700027,108.8399963,73.2
2013-11-01,1708550.646,97557456.379,137758116.424,516020.0,33758159.0,279622000.0,107.4300003,109.6900024,75.1
2013-12-01,2686893.768,125298160.087,262168496.259,880554.0,44245616.0,551624000.0,105.5999985,108.04500195,82.5
